kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
K00752.01,CONFIRMED,CANDIDATE,1.0000,9.48803557,0.146,2.9575,615.8,2.26,793.0,93.59,35.80,5455.00,4.467,0.9270,15.347,0,0,0,0
K00752.02,CONFIRMED,CANDIDATE,0.9690,54.4183827,0.586,4.507,874.8,2.83,443.0,9.11,25.80,5455.00,4.467,0.9270,15.347,0,0,0,0
K00753.01,CANDIDATE,CANDIDATE,0.0000,19.89913995,0.969,1.7822,10829,14.6,638.0,39.30,76.30,5853.00,4.544,0.8680,15.436,0,0,0,0
K00754.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.736952453,1.276,2.40641,8079.2,33.46,1395.0,891.96,505.60,5805.00,4.564,0.7910,15.597,0,1,0,0
K00755.01,CONFIRMED,CANDIDATE,1.0000,2.525591777,0.701,1.6545,603.3,2.75,1406.0,926.16,40.90,6031.00,4.438,1.0460,15.509,0,0,0,0
K00756.01,CONFIRMED,CANDIDATE,1.0000,11.09432054,0.538,4.5945,1517.5,3.9,835.0,114.81,66.50,6046.00,4.486,0.9720,15.714,0,0,0,0
K00756.02,CONFIRMED,CANDIDATE,1.0000,4.13443512,0.762,3.1402,686,2.77,1160.0,427.65,40.20,6046.00,4.486,0.9720,15.714,0,0,0,0
K00756.03,CONFIRMED,CANDIDATE,0.9920,2.56658897,0.755,2.429,226.5,1.59,1360.0,807.74,15.00,6046.00,4.486,0.9720,15.714,0,0,0,0
K00114.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,7.36178958,1.169,5.022,233.7,39.21,1342.0,767.22,47.70,6227.00,3.986,1.9580,12.660,0,1,1,0
K00757.01,CONFIRMED,CANDIDATE,1.0000,16.06864674,0.052,3.5347,4914.3,5.76,600.0,30.75,161.90,5031.00,4.485,0.8480,15.841,0,0,0,0
K00001.01,CONFIRMED,CANDIDATE,0.8110,2.470613377,0.818,1.74319,14230.9,13.04,1339.0,761.46,4304.30,5820.00,4.457,0.9640,11.338,0,0,0,0
K00002.01,CONFIRMED,CANDIDATE,1.0000,2.204735417,0.224,3.88864,6674.7,16.1,2048.0,4148.92,5945.90,6440.00,4.019,1.9520,10.463,0,1,0,0
K00010.01,CONFIRMED,CANDIDATE,0.9980,3.522498429,0.631,3.19843,9145.7,14.59,1521.0,1264.67,1741.50,6225.00,4.169,1.4510,13.563,0,0,0,0
K00112.02,CONFIRMED,CANDIDATE,1.0000,3.709214104,0.051,2.6302,131.1,1.16,1206.0,500.46,50.60,5833.00,4.407,1.0220,12.772,0,0,0,0
K00742.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,11.521446064,2.483,3.6399,17984.3,150.51,753.0,75.88,622.10,5795.00,4.554,0.8480,15.472,0,1,0,0
K00743.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,19.40393776,0.804,12.2155,8918.7,7.18,523.0,17.69,214.70,5043.00,4.591,0.6800,15.487,0,1,0,0
K00744.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,19.221388942,1.065,4.79843,74284,49.29,698.0,55.97,2317.00,6117.00,4.496,0.9470,15.341,0,1,0,0
K00745.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,16.46983774,0.292,9.4378,10478.9,7.94,595.0,29.61,303.40,5152.00,4.517,0.7860,15.788,0,1,0,0
K00746.01,CONFIRMED,CANDIDATE,1.0000,9.27358173,0.387,3.2875,1288.3,2.47,649.0,41.85,87.20,4856.00,4.583,0.6960,15.302,0,0,0,0
K00747.01,CONFIRMED,CANDIDATE,1.0000,6.02930329,0.258,1.5821,1912.7,2.85,678.0,50.04,65.40,4537.00,4.648,0.6720,15.784,0,0,0,0
K00748.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.696370652,0.044,3.6129,397.9,1.58,1066.0,305.34,48.20,4989.00,4.504,0.8190,15.269,0,1,1,1
K00749.01,CONFIRMED,CANDIDATE,1.0000,5.349553819,0.092,3.0278,831,2.55,919.0,168.99,60.60,5185.00,4.440,0.9100,15.416,0,0,0,0
K00749.02,CONFIRMED,CANDIDATE,0.9800,3.94105221,0.226,2.5984,363.3,1.7,1018.0,253.15,28.90,5185.00,4.440,0.9100,15.416,0,0,0,0
K00749.03,CONFIRMED,CANDIDATE,0.9710,8.10904807,0.025,3.596,217.4,1.3,800.0,97.03,14.10,5185.00,4.440,0.9100,15.416,0,0,0,0
K00113.01,FALSE POSITIVE,FALSE POSITIVE,,386.6030528,0.9765,6.8057,24926.6,41.5,297.0,1.84,994.00,5543.00,4.081,1.5800,12.394,0,1,0,0
K00750.01,CONFIRMED,CANDIDATE,1.0000,21.67699193,0.896,3.4555,857.2,2.95,530.0,18.64,34.30,4954.00,4.500,0.8280,15.377,0,0,0,0
K00751.01,CONFIRMED,CANDIDATE,1.0000,4.99677968,0.71,2.1717,934.7,2.78,917.0,166.95,28.20,5339.00,4.552,0.8470,15.861,0,0,0,0
K00769.01,CONFIRMED,CANDIDATE,1.0000,4.280963604,0.424,2.875,750.8,2.3,1012.0,247.87,61.80,5644.00,4.564,0.8310,15.356,0,0,0,0
K00770.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.50635409,0.86,1.5155,2211.7,4.53,1452.0,1054.12,181.10,5714.00,4.563,0.8310,15.525,0,0,1,0
K00771.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,670.645531,0.701,53.412,18090.6,14.14,196.0,0.35,642.70,5520.00,4.466,0.9830,15.207,0,1,1,0
K00772.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,61.2563628,1.248,7.633,5123.3,39.87,505.0,15.43,85.30,6144.00,4.402,1.0910,15.250,0,1,0,0
K00773.01,CONFIRMED,CANDIDATE,1.0000,38.3775486,0.468,5.588,724.2,2.82,529.0,18.53,34.70,5481.00,4.369,1.0360,15.172,0,0,0,0
K00757.02,CONFIRMED,CANDIDATE,0.9920,41.19725502,0.045,4.6297,2213.9,3.86,439.0,8.76,51.20,5031.00,4.485,0.8480,15.841,0,0,0,0
K00757.03,CONFIRMED,CANDIDATE,1.0000,6.252962249,0.105,2.5819,1036.9,2.65,823.0,108.30,47.10,5031.00,4.485,0.8480,15.841,0,0,0,0
K00758.01,CONFIRMED,CANDIDATE,1.0000,16.01308419,0.799,3.2554,1121.9,3.1,593.0,29.31,33.20,5015.00,4.499,0.8260,15.390,0,0,0,0
K00759.01,CONFIRMED,CANDIDATE,1.0000,32.62876672,0.021,4.7971,1804.8,3.36,506.0,15.55,80.00,5586.00,4.560,0.7980,15.082,0,0,0,0
K00759.02,CONFIRMED,CANDIDATE,0.9780,91.7732862,0.606,6.473,652,2.12,359.0,3.92,19.10,5586.00,4.560,0.7980,15.082,0,0,0,0
K00760.01,CONFIRMED,CANDIDATE,1.0000,4.959319244,0.831,2.22739,9802,12.21,1103.0,349.40,696.50,5712.00,4.359,1.0820,15.263,0,0,0,0
K00761.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.701287801,1.016,3.3827,860.4,6.54,1222.0,527.81,48.30,5550.00,4.468,0.9100,15.540,0,1,1,0
K00762.01,CONFIRMED,CANDIDATE,1.0000,4.49876511,0.312,3.7362,460,2.1,1133.0,389.62,29.50,6075.00,4.486,0.9690,15.395,0,0,0,0
K00763.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,19.651209505,0.723,5.2514,11766.3,12.42,730.0,67.03,513.40,6074.00,4.391,1.0630,15.536,0,1,0,0
K00115.01,CONFIRMED,CANDIDATE,1.0000,5.412203927,0.787,2.9472,601.6,2.94,1093.0,337.68,166.70,5779.00,4.339,1.0870,12.791,0,0,0,0
K00764.01,CONFIRMED,CANDIDATE,0.9980,41.43958662,0.355,10.5989,2793.1,5.5,516.0,16.72,141.10,5468.00,4.367,1.0460,15.400,0,0,0,0
K00765.01,CONFIRMED,CANDIDATE,1.0000,8.35389523,0.023,2.2514,1041.6,2.52,790.0,91.90,43.40,5592.00,4.582,0.7870,15.317,0,0,0,0
K00766.01,CONFIRMED,CANDIDATE,1.0000,4.125543472,0.597,3.1744,1487.3,4.43,1243.0,565.35,128.60,6174.00,4.417,1.1030,15.506,0,0,0,0
K00767.01,CONFIRMED,CANDIDATE,1.0000,2.816504904,0.105,2.50587,16813.7,12.21,1219.0,521.13,1406.80,5532.00,4.452,0.9550,15.052,0,0,0,0
K00768.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,33.93373447,0.812,14.561,8503.7,7.34,430.0,8.11,236.10,5040.00,4.628,0.7050,15.716,0,1,1,0
K00786.01,CONFIRMED,CANDIDATE,1.0000,3.689920099,0.151,2.6557,426.7,1.89,1147.0,408.99,35.60,5880.00,4.518,0.9170,15.242,0,0,0,0
K00787.01,CONFIRMED,CANDIDATE,1.0000,4.431238488,0.405,3.15,1010.9,3.25,1104.0,351.23,71.10,5714.00,4.428,1.0150,15.367,0,0,0,0
K00787.02,CONFIRMED,CANDIDATE,1.0000,11.37936986,0.911,2.6255,1023.5,3.95,806.0,99.68,37.90,5714.00,4.428,1.0150,15.367,0,0,0,0
K00788.01,CONFIRMED,CANDIDATE,1.0000,26.39432897,0.602,3.573,1510.9,3.07,489.0,13.49,48.20,5129.00,4.595,0.7630,15.234,0,0,0,0
K00116.01,CONFIRMED,CANDIDATE,1.0000,13.57078281,0.866,3.3539,511.7,2.64,785.0,89.61,88.40,5854.00,4.406,1.0120,12.882,0,0,0,0
K00115.02,CONFIRMED,CANDIDATE,1.0000,7.12594387,0.898,3.0014,192.4,1.79,997.0,233.31,47.10,5779.00,4.339,1.0870,12.791,0,0,0,0
K00774.01,FALSE POSITIVE,FALSE POSITIVE,0.0140,7.442652004,0.137,2.3078,24446.2,15.03,967.0,206.78,835.60,6108.00,4.469,0.9560,15.270,0,1,0,0
K00775.01,CONFIRMED,CANDIDATE,1.0000,16.38489988,0.001,3.0249,1127.1,2,433.0,8.35,28.90,4126.00,4.661,0.6150,15.095,0,0,0,0
K00775.02,CONFIRMED,CANDIDATE,1.0000,7.8774163,0.041,2.0805,1306.1,2.16,553.0,22.18,38.70,4126.00,4.661,0.6150,15.095,0,0,0,0
K00775.03,CONFIRMED,CANDIDATE,1.0000,36.4454001,0.028,4.007,1122.3,1.99,332.0,2.88,21.70,4126.00,4.661,0.6150,15.095,0,0,0,0
K00776.01,CONFIRMED,CANDIDATE,1.0000,3.728732147,0.558,2.683,5226.5,6.02,1023.0,258.34,345.20,5497.00,4.577,0.8090,15.523,0,0,0,0
K00777.01,CANDIDATE,CANDIDATE,0.9990,40.4195037,0.911,3.362,6256,7.51,467.0,11.29,36.90,5446.00,4.507,0.7810,15.487,0,0,0,0
K00778.01,CONFIRMED,CANDIDATE,1.0000,2.243380573,0.915,1.1196,821.7,1.99,822.0,107.60,38.90,4149.00,4.698,0.5640,15.135,0,0,0,0
K00779.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,10.405998015,0.324,6.5036,14488.8,11.23,833.0,113.94,745.20,5746.00,4.393,0.9240,15.562,0,1,0,0
K00780.01,CONFIRMED,CANDIDATE,1.0000,2.337437946,0.28,1.9982,971.2,2.34,1070.0,311.16,82.40,5005.00,4.595,0.7650,15.334,0,0,0,0
K00780.02,CANDIDATE,CANDIDATE,0.9930,7.2406612,1.198,0.558,556.4,19.45,734.0,68.63,13.70,5005.00,4.595,0.7650,15.334,0,0,0,0
K00115.03,CANDIDATE,CANDIDATE,0.8710,3.43591631,0.624,3.133,23.2,0.55,1272.0,617.61,8.70,5779.00,4.339,1.0870,12.791,0,0,0,0
K00781.01,CONFIRMED,CANDIDATE,1.0000,11.59822233,0.679,2.5237,2804.5,2.65,396.0,5.82,71.00,3688.00,4.790,0.4730,15.937,0,0,0,0
K00782.01,CONFIRMED,CANDIDATE,1.0000,6.575315881,0.39,4.3084,2793.3,5.31,1015.0,251.38,221.10,5992.00,4.415,0.9890,15.312,0,0,0,0
K00783.01,CONFIRMED,CANDIDATE,1.0000,7.275040844,0.547,7.5377,3001,4.86,833.0,113.64,312.10,5485.00,4.556,0.8670,15.080,0,0,0,0
K00784.01,CONFIRMED,CANDIDATE,1.0000,19.27153892,0.031,2.7594,1219.8,1.93,393.0,5.66,37.10,4077.00,4.702,0.5600,15.385,0,0,0,0
K00784.02,CONFIRMED,CANDIDATE,1.0000,10.06524317,0.628,1.369,1053.3,1.91,488.0,13.43,30.30,4077.00,4.702,0.5600,15.385,0,0,0,0
K00785.01,CONFIRMED,CANDIDATE,1.0000,12.3935651,0.883,3.8896,916.6,2.66,677.0,49.68,35.80,5557.00,4.603,0.7500,15.505,0,0,0,0
K00116.02,CONFIRMED,CANDIDATE,0.9980,43.84439721,0.852,6.802,615.2,2.87,531.0,18.77,83.70,5854.00,4.406,1.0120,12.882,0,0,0,0
K00798.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,3.341913228,1.213,3.813,725.3,21.55,1032.0,268.67,39.00,5295.00,4.551,0.8110,15.629,0,1,1,0
K00799.01,FALSE POSITIVE,FALSE POSITIVE,0.7730,1.626630225,1.26,2.1145,1620.6,32.43,1547.0,1355.88,103.60,5735.00,4.410,0.9730,15.279,0,0,1,0
K00800.01,CONFIRMED,CANDIDATE,1.0000,2.711504086,0.023,3.0099,837.5,3.12,1420.0,960.79,64.50,6214.00,4.442,1.0760,15.541,0,0,0,0
K00800.02,CONFIRMED,CANDIDATE,1.0000,7.21203748,0.012,4.0491,950.4,3.32,1025.0,260.58,51.50,6214.00,4.442,1.0760,15.541,0,0,0,0
K00789.01,FALSE POSITIVE,FALSE POSITIVE,,14.1798187,0.1601,2.505,459.9,1.88,711.0,60.35,11.20,5799.00,4.539,0.8780,15.727,0,0,0,1
K00790.01,CONFIRMED,CANDIDATE,1.0000,8.47237911,0.022,2.7245,1123.5,2.59,751.0,75.44,47.60,5354.00,4.587,0.7880,15.339,0,0,0,0
K00790.02,CONFIRMED,CANDIDATE,0.9890,60.4189369,0.094,5.039,931.3,2.36,390.0,5.49,20.10,5354.00,4.587,0.7880,15.339,0,0,0,0
K00791.01,CONFIRMED,CANDIDATE,1.0000,12.611904345,0.55,5.1497,6105.6,7.4,753.0,76.15,277.20,5795.00,4.508,0.9190,15.140,0,0,0,0
K00792.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.433769925,1.268,1.8868,1976.3,46.58,1920.0,3209.29,112.60,6017.00,4.220,1.3390,15.122,0,1,0,0
K00793.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,10.31872301,1.215,3.836,871.7,28.59,876.0,139.26,38.20,5927.00,4.409,1.0600,15.065,0,1,1,0
K00794.01,CONFIRMED,CANDIDATE,1.0000,2.539183147,0.238,2.4282,382.1,2.06,1332.0,743.09,38.90,5519.00,4.350,1.0620,15.026,0,0,0,0
K00795.01,CONFIRMED,CANDIDATE,1.0000,6.770300385,0.838,2.0844,1304,2.77,812.0,102.87,50.80,5653.00,4.656,0.6790,15.591,0,0,0,0
K00796.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.444291966,1.258,2.0792,10967.4,27.51,1836.0,2706.26,299.70,5255.00,4.678,0.6360,15.748,0,1,1,1
K00797.01,CANDIDATE,CANDIDATE,1.0000,10.181584004,0.92,3.5089,5741.1,7.73,812.0,102.91,183.60,5988.00,4.541,0.8360,15.657,0,0,0,0
K00812.02,CONFIRMED,CANDIDATE,1.0000,20.06036336,0.556,3.3203,1494.7,1.96,361.0,4.00,35.20,3950.00,4.754,0.4930,15.954,0,0,0,0
K00812.03,CONFIRMED,CANDIDATE,1.0000,46.1842039,0.013,4.758,1394.7,1.83,273.0,1.32,26.00,3950.00,4.754,0.4930,15.954,0,0,0,0
K00116.04,CONFIRMED,CANDIDATE,0.9520,23.9800854,0.95,5.351,104,1.31,649.0,41.94,17.10,5854.00,4.406,1.0120,12.882,0,0,0,0
K00812.04,CONFIRMED,CANDIDATE,0.9940,7.82502168,0.708,2.186,520.8,1.2,494.0,14.05,15.90,3950.00,4.754,0.4930,15.954,0,0,0,0
K00813.01,CONFIRMED,CANDIDATE,1.0000,3.895936525,0.524,2.3111,8544.8,7.34,1005.0,241.62,370.80,5557.00,4.592,0.7740,15.725,0,0,0,0
K00814.01,CONFIRMED,CANDIDATE,0.9990,22.36646466,0.4,5.228,986.8,2.32,536.0,19.45,32.10,5395.00,4.615,0.7340,15.583,0,0,0,0
K00801.01,CONFIRMED,CANDIDATE,1.0000,1.625522174,0.076,2.38963,7969,9.73,1579.0,1467.41,799.70,5539.00,4.322,1.1060,15.001,0,0,0,0
K00802.01,CANDIDATE,CANDIDATE,1.0000,19.620346923,0.458,2.0038,21724.6,13.6,643.0,40.39,340.50,5710.00,4.492,0.9050,15.562,0,0,0,0
K00803.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,7.544039,1.175,6.222,322.6,17.47,838.0,116.46,14.20,5657.00,4.567,0.8240,15.559,1,0,1,0
K00804.01,CONFIRMED,CANDIDATE,1.0000,9.02930689,0.024,3.1449,1019.8,2.57,757.0,77.75,53.90,5349.00,4.526,0.8200,15.387,0,0,0,0
K00805.01,FALSE POSITIVE,FALSE POSITIVE,0.0530,10.328035714,0.281,7.7915,16917.7,13.28,843.0,119.31,636.80,5627.00,4.359,1.0240,15.646,0,1,0,0
K00806.01,CONFIRMED,CANDIDATE,1.0000,143.2063047,0.379,8.9302,10565.7,8.9,308.0,2.14,138.80,5485.00,4.556,0.8670,15.403,0,0,0,0
K00116.03,CONFIRMED,CANDIDATE,0.9500,6.164876,0.646,3.262,55.8,0.79,1021.0,256.35,14.40,5854.00,4.406,1.0120,12.882,0,0,0,0
K00806.02,CONFIRMED,CANDIDATE,0.7450,60.32494216,0.224,6.6188,20280.4,12.19,411.0,6.77,347.20,5485.00,4.556,0.8670,15.403,0,0,0,0
K00806.03,CONFIRMED,CANDIDATE,,29.1598615,0.3619,4.803,488,1.91,524.0,17.85,11.60,5485.00,4.556,0.8670,15.403,0,0,0,0
K00807.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.540397253,1.225,2.1541,816.1,25.69,1470.0,1105.68,38.80,5663.00,4.530,0.9150,15.974,0,0,1,1
K00808.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.99025443,0.014,5.414,589.2,1.7,918.0,168.45,48.50,4667.00,4.578,0.7310,15.842,0,0,1,1
K00809.01,CONFIRMED,CANDIDATE,1.0000,1.594745374,0.514,1.9604,15044.5,11.3,1539.0,1329.42,1009.30,5934.00,4.491,0.8930,15.530,0,0,0,0
K00810.01,CONFIRMED,CANDIDATE,1.0000,4.783002698,0.003,2.335,1008.7,2.5,886.0,145.48,70.60,5170.00,4.574,0.8070,15.119,0,0,0,0
K00811.01,CONFIRMED,CANDIDATE,1.0000,20.50588921,0.26,4.0595,2105.5,3.41,518.0,17.06,78.50,4905.00,4.544,0.7610,15.398,0,0,0,0
K00812.01,CONFIRMED,CANDIDATE,1.0000,3.340218842,0.466,1.9104,1632.6,2.03,656.0,43.73,71.60,3950.00,4.754,0.4930,15.954,0,0,0,0
K00828.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.507089906,1.255,2.0067,1339.2,30.26,1326.0,730.47,64.90,5926.00,4.506,0.9390,15.555,0,1,1,0
K00829.01,CONFIRMED,CANDIDATE,1.0000,18.64932728,0.08,4.4056,893.6,3.12,701.0,57.13,46.10,5775.00,4.405,1.0530,15.386,0,0,0,0
K00117.02,CONFIRMED,CANDIDATE,1.0000,4.90144976,0.529,4.1654,140.7,1.7,1262.0,598.74,50.60,5847.00,4.191,1.4020,12.487,0,0,0,0
